" 表 6-5 勞工保險平均投保薪資－按類別分 ","","","","","","  Table 6-5 Average Monthly Insurance Salary under Labor Insurance","","","","","","",
,,,,,,"","","  by Various Insured Laborer","","","","",
" ","","","","","  單位：元","","","","","","","  Unit：NT$",
" ","","",""," 產業勞工及交通","  公司、行號"," 新聞、文化、公益"," 政府機關、公、"," 受僱從事漁業"," 職業訓練機構","","","",
" "," 總        　計","","","","","","","","","  職 業 勞 工"," 漁會之甲類會員"," 自 願 投 保 者",
" 年　　　　別 ","","  占平均月"," 占平均月經常"," 公用事業之員工","  　之員工"," 及合作事業之員工"," 私立學校之員工"," 生產之勞動者","  接受訓練者","","","",
" ","","  薪資比率","  性薪資比率","","",,,,,,,,
,,,,,,"        Employees in","",""," Persons receiving","","","",
" ","","  (%)","  (%)","","  Workers of",""," Employees in","     Workers","","","","",
" ","",""," Ratio of average","  Industrial","  commercial","         journalistic,   cultural, nonprofit","   government","  employed in","     training in    vocational","    Craft"," Class A members   of fishermen's","  Voluntary  insured",
" Year ","  Grand total"," Ratio of averagemonthly earnings"," monthly regular earnings of","   workers","    firms and    shops","      organiztions or","  agencies and","      fishing","       training","  workers","      association","    persons",
,,,,,,"","     schools","   production","","","","",
" ",""," of employees","  employees","",""," cooperative enterprises","","","    organizations","","","",
"  69年平均  Avg. 1980 ","4465","50.47","57.51","4718","5143","5855","6223","0","1730","2752","1733","6265",
"  70年平均  Avg. 1981 ","5313","49.74","55.48","5587","6106","6855","7765","0","2389","3469","1733","7517",
"  71年平均  Avg. 1982 ","5675","49.44","54.56","5995","6536","7465","8430","0","2412","3710","1741","7976",
"  72年平均  Avg. 1983 ","6382","52.62","57.88","6834","7086","8328","8941","0","2858","4311","2050","8512",
"  73年平均  Avg. 1984 ","7407","55.19","61.7","7725","7932","9328","9681","0","4308","6058","3513","8841",
"  74年平均  Avg. 1985 ","7966","56.93","63.5","8383","8408","10113","10719","0","4515","6582","3517","9087",
"  75年平均  Avg. 1986 ","8095","53.5","61.11","8589","8508","10312","11293","0","4511","6604","3494","8804",
"  76年平均  Avg. 1987 ","8499","51.48","59.87","9040","8815","10857","11785","0","4946","7122","3501","8915",
"  77年平均  Avg. 1988 ","9356","50.81","60.07","9859","9360","11522","12605","12958","5403","7851","6401","10145",
"  78年平均  Avg. 1989 ","10631","50","60.55","11333","10747","13471","14100","12912","6131","8879","8810","11309",
"  79年平均  Avg. 1990 ","12148","49.92","61.05","12721","12166","15091","15923","13005","6965","10927","9919","12532",
"  80年平均  Avg. 1991 ","13654","50.75","61.9","14241","13640","17240","17902","13320","7842","12467","11187","14039",
"  81年平均  Avg. 1992 ","15445","52.4","64.53","16567","15674","20163","20066","14009","8709","13449","11993","16053",
"  82年平均  Avg. 1993 ","17317","54.57","67.56","18940","17783","22808","22169","15189","9652","14674","13171","17889",
"  83年平均  Avg. 1994 ","18483","54.86","68.18","20248","18895","24300","23835","16461","10466","15784","14136","19158",
"  84年平均  Avg. 1995 ","19869","56.09","69.89","21602","20427","25825","24964","17873","11045","17129","14708","20688",
"  85年平均  Avg. 1996 ","21081","57.39","70.77","22900","21798","27263","26140","19339","11350","18023","15276","22094",
"  86年平均  Avg. 1997 ","22106","57.37","71.29","24036","23020","28502","27125","20809","11608","18634","15922","23396",
"  87年平均  Avg. 1998 ","23313","58.68","72.79","25409","24541","30030","29418","22397","12066","19061","16832","24862",
"  88年平均  Avg. 1999 ","24013","58.7","72.52","26240","25432","31094","30452","23520","11285","19303","16986","25596",
"  89年平均  Avg. 2000 ","24554","58.55","72.2","26915","26019","31357","30806","24620","11244","19575","17159","26010",
"  90年平均  Avg. 2001 ","25001","59.47","72.36","27533","26522","31387","31237","25732","11271","19871","17382","26450",
"  91年平均  Avg. 2002 ","25227","60.54","72.41","27744","26698","31551","31434","26870","11241","20290","17778","26885",
"  92年平均  Avg. 2003 ","25448","60.18","72.82","27936","26848","31670","30603","27696","11244","20605","18289","26999",
"  93年平均  Avg. 2004 ","25677","60.16","73.16","28117","26912","31653","30586","28759","11192","20975","18429","27079",
"  94年平均  Avg. 2005 ","26145","60.58","73.89","28736","27242","31726","32095","29858","11173","21465","18580","27275",
"  95年平均  Avg. 2006 ","26765","61.55","74.92","29511","27714","32121","32834","30556","11250","22167","18764","27470",
"  96年平均  Avg. 2007 ","27404","61.73","75.45","29976","28379","32614","33158","31663","11851","23045","19393","27971",
"  97年平均  Avg. 2008 ","27880","62.84","76.62","30338","28695","32904","33255","32364","12294","23821","20462","28333",
"  98年平均  Avg. 2009 ","27868","66.07","78.22","30395","28645","32812","31932","32373","12239","24177","21178","28373",
"  99年平均  Avg. 2010 ","28108","63.37","77.62","30473","28518","32710","31842","31587","12393","24963","21820","28395",
" 100年平均  Avg. 2011 ","28552","62.74","77.82","30763","28779","32813","32412","30757","12936","25671","22636","28656",
" 101年平均  Avg. 2012 ","29051","63.72","78.2","31200","29194","33196","33132","29063","13689","26180","23584","29105",
" 102年平均  Avg. 2013 ","29313","64.19","78.11","31521","29552","33502","33381","26544","13710","25908","24124","29458",
" 103年平均  Avg. 2014 ","29595","62.57","77.46","31622","29928","33711","33465","23388","13754","26080","24808","29783",
" 104年平均  Avg. 2015 ","29914","61.69","77.26","31887","30320","33943","33106","23343","13724","26302","25386","30111",
" 105年平均  Avg. 2016 ","30454","62.42","77.61","32503","31003","34649","33188","23671","13774","26412","25856","30709",
" 資料來源： 勞動部勞工保險局。 ","","","","",""," Source：  Bureau of Labor Insurance, MOL.","","","","","","",
" ","","   -160-","","","","","","","  -161-","","","",
